,,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.0949987434,1.266
1396635823.116,25.359,1.36979,1.36992,118.86,1.36979,1.36992,,4.6870933396,93.501
1396635823.15,17.287,1.36977,1.3699,86.312,1.36977,1.3699,,4.9928848267,69.025
1396635823.181,17.168,1.36978,1.3699,57.436,1.36978,1.3699,,3.345526561,40.268
1396635823.413,27.462,1.36976,1.3699,28.46,1.36976,1.3699,,1.0363411259,0.998
1396635824.119,23.484,1.36977,1.36988,24.701,1.36977,1.36988,,1.0518225175,1.217
1396635824.149,39.627,1.36977,1.36989,100.008,1.36977,1.36989,,2.5237338179,60.381
1396635824.536,18.454,1.36978,1.36989,61.22,1.36978,1.36989,,3.3174379538,42.766
1396635824.612,15.077,1.36977,1.3699,87.316,1.36977,1.3699,,5.7913377993,72.239
1396635824.62,40.68,1.36975,1.3699,81.914,1.36975,1.3699,,2.0136184857,41.234
1396635825.111,21.203,1.36978,1.36988,22.598,1.36978,1.36988,,1.0657925765,1.395
1396635835.252,12.138,1.36977,1.36989,13.935,1.36977,1.36989,,1.1480474543,1.797
1396635836.016,27.337,1.36974,1.36986,28.002,1.36974,1.36986,,1.024326005,0.665
1396635836.058,21.672,1.36972,1.36984,72.803,1.36972,1.36984,,3.3593115541,51.131
1396635836.643,100.373,1.3697,1.36982,817.023,1.3697,1.36982,,8.1398682913,716.65
1396635838.063,25.187,1.36972,1.36982,26.445,1.36972,1.36982,,1.0499464009,1.258
1396635838.119,30.257,1.36972,1.36983,68.431,1.36972,1.36983,,2.2616584592,38.174
1396635838.121,55.009,1.36972,1.36985,163.256,1.36972,1.36985,,2.9678052682,108.247
1396635838.215,22.694,1.36972,1.36984,70.729,1.36972,1.36984,,3.1166387591,48.035
1396635838.421,22.576,1.36973,1.36983,23.585,1.36973,1.36983,,1.0446934798,1.009
1396635840.122,41.467,1.36974,1.36985,16.773,1.36975,1.36985,,0.4044903176,-24.694
1396635840.122,41.467,1.36974,1.36985,16.773,1.36975,1.36985,121.317,0.4044903176,-24.694
1396635842.626,29.423,1.36971,1.36982,30.689,1.36971,1.36982,,1.0430275635,1.266
1396635842.72,19.772,1.36972,1.36982,32.634,1.36972,1.36982,,1.650515881,12.862
1396635844.619,23.713,1.36972,1.36983,25.331,1.36972,1.36983,,1.068232615,1.618
1396635847.425,19.244,1.36972,1.36982,19.389,1.36972,1.36982,,1.007534816,0.145
1396635850.847,18.824,1.36975,1.36985,19.825,1.36975,1.36985,,1.0531767956,1.001
1396635855.306,12.734,1.36974,1.36986,13.51,1.36974,1.36986,,1.0609392178,0.776
1396635857.427,10.449,1.36975,1.36985,11.775,1.36975,1.36985,,1.1269020959,1.326
1396635858.732,11.478,1.36976,1.36985,12.136,1.36976,1.36985,,1.0573270605,0.658
1396635870.72,12.676,1.36976,1.36985,13.935,1.36976,1.36985,,1.0993215525,1.259
1396635873.314,11.852,1.36973,1.36987,12.28,1.36973,1.36987,,1.0361120486,0.428
1396635873.512,11.247,1.36974,1.36986,11.883,1.36974,1.36986,,1.0565484129,0.636
1396635877.57,12.313,1.36976,1.36985,12.679,1.36976,1.36985,,1.0297246812,0.366
1396635877.712,10.861,1.36975,1.36986,11.912,1.36975,1.36986,,1.0967682534,1.051
1396635877.812,11.575,1.36975,1.36985,13.898,1.36975,1.36985,,1.2006911447,2.323
1396635881.064,15.897,1.36973,1.36985,11.841,1.36973,1.36985,,0.7448575203,-4.056
1396635881.113,11.327,1.36973,1.36984,63.87,1.36973,1.36984,,5.6387392955,52.543
1396635883.412,11.146,1.36975,1.36985,11.996,1.36975,1.36985,,1.0762605419,0.85
1396635885.712,12.282,1.36976,1.36985,12.919,1.36976,1.36985,,1.0518645172,0.637
1396635885.811,11.389,1.36975,1.36985,14.32,1.36975,1.36985,,1.2573535868,2.931
1396635896.068,13.653,1.36975,1.36985,14.412,1.36975,1.36985,,1.0555921775,0.759
1396635899.419,11.034,1.36975,1.36987,12.517,1.36975,1.36987,,1.1344027551,1.483
1396635899.491,11.601,1.36976,1.36987,39.682,1.36976,1.36987,,3.4205671925,28.081
1396635899.523,11.683,1.36976,1.36988,109.478,1.36976,1.36988,,9.370709578,97.795
1396635899.555,16.201,1.36979,1.36991,79.699,1.36979,1.36991,,4.9193876921,63.498
1396635899.612,11.214,1.36979,1.3699,123.629,1.36979,1.3699,,11.0245229178,112.415
1396635901.242,12.28,1.3698,1.36989,12.681,1.3698,1.36989,,1.0326547231,0.401
1396635901.616,19.95,1.3698,1.36991,22.035,1.3698,1.36991,,1.1045112782,2.085
1396635901.676,12.544,1.36981,1.36991,64.106,1.36981,1.36991,,5.1104910714,51.562
1396635906.813,12.309,1.36982,1.36993,12.468,1.36982,1.36993,,1.0129173775,0.159
1396635906.831,11.179,1.36982,1.36996,94.844,1.36982,1.36996,,8.4841220145,83.665
1396635906.915,12.888,1.36983,1.36996,112.044,1.36983,1.36996,,8.6936685289,99.156
1396635907.121,13.587,1.36984,1.36995,13.924,1.36984,1.36995,,1.0248031206,0.337
1396635908.811,14.774,1.36983,1.36996,14.893,1.36983,1.36996,,1.0080546907,0.119
1396635908.934,13.042,1.36986,1.36998,14.035,1.36986,1.36998,,1.076138629,0.993
1396635909.112,12.53,1.36986,1.36997,13.383,1.36986,1.36997,,1.0680766161,0.853
1396635909.96,11.723,1.36986,1.36997,12.587,1.36986,1.36997,,1.073701271,0.864
1396635920.413,11.147,1.36985,1.36997,12.038,1.36985,1.36997,,1.0799318202,0.891
1396635920.524,12.05,1.36983,1.36994,13.449,1.36983,1.36994,,1.1160995851,1.399
1396635920.718,11.46,1.36981,1.36992,11.845,1.36981,1.36992,,1.0335951134,0.385
1396635920.814,15.863,1.36982,1.36992,17.268,1.36982,1.36992,,1.0885708882,1.405
1396635920.918,11.732,1.36981,1.36993,13.389,1.36981,1.36993,,1.1412376406,1.657
1396635921.008,14.052,1.36982,1.36993,22.219,1.36982,1.36993,,1.5811984059,8.167
1396635921.122,11.714,1.36982,1.36992,12.717,1.36982,1.36992,,1.0856240396,1.003
1396635921.461,11.484,1.36981,1.36992,11.783,1.36981,1.36992,,1.0260362243,0.299
1396635923.88,11.56,1.36983,1.36993,12.715,1.36983,1.36993,,1.0999134948,1.155
1396635926.538,14.972,1.36983,1.36993,16.523,1.36983,1.36993,,1.1035933743,1.551
1396635931.217,21.632,1.36985,1.36996,21.086,1.36985,1.36996,,0.9747596154,-0.546
1396635931.518,18.96,1.36985,1.36998,19.108,1.36985,1.36998,,1.0078059072,0.148
1396635931.721,11.228,1.36985,1.36996,11.065,1.36985,1.36996,,0.9854827218,-0.163
1396635936.623,15.288,1.36984,1.36996,15.207,1.36984,1.36996,,0.9947017268,-0.081
1396635936.715,12.425,1.36981,1.36994,20.932,1.36981,1.36994,,1.684668008,8.507
1396635936.727,20.518,1.36978,1.36991,110.033,1.36978,1.36991,,5.3627546544,89.515
1396635936.802,12.42,1.36978,1.3699,133.947,1.36978,1.3699,,10.7847826087,121.527
1396635937.013,11.659,1.36979,1.36989,26.044,1.36979,1.36989,,2.2338107899,14.385
1396635937.311,11.552,1.36979,1.36991,11.901,1.36979,1.36991,,1.0302112188,0.349
1396635937.611,11.028,1.36979,1.3699,12.153,1.36979,1.3699,,1.1020130577,1.125
1396635939.111,12.315,1.36979,1.36991,12.872,1.36979,1.36991,,1.045229395,0.557
1396635942.411,12.823,1.3698,1.3699,11.178,1.3698,1.3699,,0.8717148873,-1.645
1396635943.311,11.376,1.36979,1.36991,11.328,1.36979,1.36991,,0.9957805907,-0.048
1396635945.811,11.301,1.3698,1.3699,12.344,1.3698,1.3699,,1.0922927175,1.043
1396635956.012,13.217,1.36979,1.36991,12.706,1.36979,1.36991,,0.9613376712,-0.511
1396635963.718,12.984,1.36976,1.3699,12.993,1.36976,1.3699,,1.0006931608,0.009
1396635963.86,11.665,1.36976,1.36988,12.457,1.36976,1.36988,,1.0678954136,0.792
1396635964.334,13.543,1.36976,1.36986,13.964,1.36976,1.36986,,1.03108617,0.421
1396635964.983,12.318,1.36975,1.36987,12.412,1.36975,1.36987,,1.0076311089,0.094
1396635980.712,12.931,1.36976,1.36986,13.713,1.36976,1.36986,,1.0604748279,0.782
1396636023.071,15.005,1.36974,1.36984,16.442,1.36974,1.36984,,1.0957680773,1.437
1396636028.067,11.937,1.36976,1.36986,13.071,1.36976,1.36986,,1.0949987434,1.134
1396636031.305,11.92,1.36974,1.36986,12.469,1.36974,1.36986,,1.046057047,0.549
1396636031.413,12.728,1.36973,1.36984,13.178,1.36973,1.36984,,1.0353551226,0.45
1396636031.909,13.246,1.36975,1.36984,12.689,1.36975,1.36984,,0.9579495697,-0.557
1396636032,11.669,1.36973,1.36984,21.381,1.36973,1.36984,,1.8322906847,9.712
