Compact Stream Performance Test
Timestamp on Tick,Latency After Decode
1396628589.285,12.715
1396628589.380,11.126
1396628589.524,14.579
1396628590.408,10.278
1396628590.518,631.983
1396628591.124,26.680
1396628591.414,7.901
1396628591.626,9.082
1396628592.967,10.044
1396628592.970,21.787
1396628593.113,7.737
1396628593.917,7.490
1396628594.970,8.219
1396628595.437,10.851
1396628595.628,15.229
1396628599.343,8.568
1396628599.817,8.888
1396628599.964,13.769
1396628601.381,9.553
1396628601.562,8.166
1396628602.146,7.788
1396628603.074,10.028
1396628603.311,8.391
1396628603.322,13.361
1396628603.477,7.802
1396628603.534,8.114
1396628603.583,10.586
1396628603.839,9.342
1396628603.843,19.524
1396628604.016,9.527
1396628604.068,8.519
1396628604.087,8.071
1396628604.291,8.163
1396628604.528,9.124
1396628605.074,8.636
1396628605.277,8.210
1396628605.445,8.670
1396628607.718,10.957
1396628607.729,23.205
1396628607.816,8.710
1396628608.118,8.927
1396628609.581,8.465
1396628609.672,9.174
1396628609.911,9.054
1396628610.115,7.726
1396628610.606,8.162
1396628610.847,8.920
1396628610.936,9.776
1396628611.016,8.335
1396628611.562,8.757
1396628611.720,10.425
1396628612.214,8.402
1396628612.254,7.932
1396628614.046,7.755
1396628614.239,8.545
1396628614.390,8.216
1396628614.619,10.475
1396628614.829,8.893
1396628615.614,9.004
1396628615.724,8.543
1396628615.952,8.216
1396628616.214,7.486
1396628616.426,8.055
1396628616.555,9.260
1396628616.726,11.005
1396628617.727,8.408
1396628617.823,8.328
1396628618.027,8.745
1396628618.258,13.518
1396628618.275,17.827
1396628619.247,8.645
1396628620.225,9.649
1396628626.637,10.225
1396628629.569,8.057
1396628629.930,9.785
1396628630.046,9.633
1396628630.231,9.667
1396628630.356,9.902
1396628632.746,8.321
1396628632.753,14.766
1396628633.165,7.812
1396628633.714,8.024
1396628635.996,8.874
1396628637.268,8.203
1396628638.541,7.945
