Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.1285962349,1.5055
1396642963.311,23.362,1.37008,1.37024,12.222,1.37008,1.37024,,0.5231572639,-11.14
1396642963.423,23.383,1.37009,1.37024,12.815,1.37009,1.37024,,0.548047727,-10.568
1396642964.114,23.657,1.37011,1.37021,12.69,1.37011,1.37021,,0.5364162827,-10.967
1396642964.89,23.462,1.37009,1.37023,12.261,1.37009,1.37023,,0.5225897195,-11.201
1396642964.891,51.713,1.37008,1.37024,112.826,1.37008,1.37024,,2.181772475,61.113
1396642965.115,24.451,1.37009,1.37024,12.679,1.37009,1.37024,,0.5185472987,-11.772
1396642966.113,23.543,1.37012,1.37024,12.031,1.37012,1.37024,,0.5110223846,-11.512
1396642968.618,29.866,1.3701,1.37023,13.347,1.3701,1.37023,,0.4468961361,-16.519
1396642968.823,25.808,1.3701,1.37022,12.1,1.3701,1.37022,,0.4688468692,-13.708
1396642971.224,22.938,1.37011,1.37021,15.275,1.37011,1.37021,,0.6659255384,-7.663
1396642972.313,22.889,1.37008,1.37018,12.204,1.37008,1.37018,,0.5331818778,-10.685
1396642981.723,23.388,1.37007,1.37019,12.593,1.37007,1.37019,,0.5384385155,-10.795
1396643014.337,24.331,1.37009,1.3702,11.968,1.37009,1.3702,,0.4918827833,-12.363
1396643030.902,22.632,1.37011,1.37022,12.785,1.37011,1.37022,,0.5649080947,-9.847
1396643042.648,23.911,1.3701,1.37023,11.835,1.3701,1.37023,,0.4949604784,-12.076
1396643045.385,23.257,1.3701,1.37023,13.672,1.3701,1.37023,,0.5878660188,-9.585
1396643053.97,22.89,1.37012,1.37024,12.007,1.37012,1.37024,,0.5245522062,-10.883
1396643058.597,23.448,1.37012,1.37022,11.299,1.37012,1.37022,,0.4818747868,-12.149
1396643058.598,49.685,1.3701,1.37024,109.271,1.3701,1.37024,,2.1992754352,59.586
1396643061.422,28.627,1.37011,1.37023,12.45,1.37011,1.37023,,0.4349041115,-16.177
1396643064.218,25.733,1.37008,1.37021,13.309,1.37008,1.37021,,0.5171958186,-12.424
1396643064.224,48.702,1.37006,1.37022,108.426,1.37006,1.37022,,2.2263151411,59.724
1396643064.314,23.781,1.37004,1.37019,121.288,1.37004,1.37019,,5.1002060468,97.507
1396643064.454,26.604,1.37003,1.37017,86.46,1.37003,1.37017,,3.249887235,59.856
1396643064.864,23.615,1.37004,1.37015,12.244,1.37004,1.37015,,0.5184840144,-11.371
1396643067.701,30.796,1.37003,1.37016,25.278,1.37003,1.37016,,0.8208208858,-5.518
1396643071.412,23.269,1.37002,1.37016,13.197,1.37002,1.37016,,0.5671494263,-10.072
1396643071.615,23.536,1.37,1.37013,13.644,1.37,1.37013,,0.5797076818,-9.892
1396643073.022,36.118,1.37003,1.37017,99.161,1.37003,1.37017,,2.7454731713,63.043
1396643073.116,23.687,1.37005,1.37018,104.2,1.37005,1.37018,,4.3990374467,80.513
1396643073.318,23.477,1.37002,1.37016,12.921,1.37002,1.37016,,0.5503684457,-10.556
1396643075.214,22.649,1.37005,1.37018,12.655,1.37005,1.37018,,0.5587443154,-9.994
1396643075.278,23.162,1.37003,1.37017,49.168,1.37003,1.37017,,2.1227873241,26.006
1396643075.418,29.498,1.37002,1.37017,108.975,1.37002,1.37017,,3.6943182589,79.477
1396643075.447,29.101,1.37,1.37015,82.558,1.37,1.37015,,2.8369471839,53.457
1396643077.313,23.678,1.37002,1.37014,12.508,1.37002,1.37014,,0.5282540755,-11.17
1396643077.321,43.076,1.37004,1.37017,106.97,1.37004,1.37017,,2.4832853561,63.894
1396643077.414,27.764,1.37005,1.37017,113.867,1.37005,1.37017,,4.1012462181,86.103
1396643077.438,34.003,1.37001,1.37016,93.929,1.37001,1.37016,,2.7623739082,59.926
1396643077.722,24.133,1.37002,1.37015,11.398,1.37002,1.37015,,0.4722993412,-12.735
1396643079.126,23.25,1.37003,1.37014,12.411,1.37003,1.37014,,0.5338064516,-10.839
1396643079.206,23.667,1.37002,1.37015,31.759,1.37002,1.37015,,1.3419106773,8.092
1396643079.215,42.066,1.37003,1.37015,123.68,1.37003,1.37015,,2.9401416821,81.614
1396643079.305,24.065,1.37006,1.37018,35.04,1.37006,1.37018,,1.4560565136,10.975
1396643079.322,34.347,1.37004,1.37017,119.163,1.37004,1.37017,,3.4693859726,84.816
1396643080.467,24.091,1.37006,1.37018,40.159,1.37006,1.37018,,1.666971068,16.068
1396643080.614,22.819,1.37004,1.37017,12.235,1.37004,1.37017,,0.5361759937,-10.584
1396643088.849,24.241,1.37004,1.37016,14.194,1.37004,1.37016,,0.5855369003,-10.047
1396643091.904,23.284,1.37003,1.37014,12.066,1.37003,1.37014,,0.5182099296,-11.218
1396643107.008,11.13,1.37003,1.37015,12.404,1.37003,1.37015,,1.1144654088,1.274
1396643109.834,11.107,1.37001,1.37015,11.669,1.37001,1.37015,,1.0505987215,0.562
1396643112.713,10.204,1.37002,1.37015,13.034,1.37002,1.37015,,1.2773422187,2.83
1396643119.213,10.301,1.37003,1.37015,11.168,1.37003,1.37015,,1.0841665858,0.867
1396643119.621,12.221,1.37003,1.37018,13.534,1.37003,1.37018,,1.1074380165,1.313
1396643120.13,10.736,1.37004,1.37017,12.347,1.37004,1.37017,,1.1500558867,1.611
1396643125.566,10.881,1.37005,1.37016,12.359,1.37005,1.37016,,1.1358331036,1.478
1396643130.987,10.446,1.37005,1.37016,12.629,1.37005,1.37016,,1.2089795137,2.183
1396643136.92,11.93,1.37004,1.37018,14.388,1.37004,1.37018,,1.2060352054,2.458
1396643140.631,11.539,1.37005,1.37019,13.126,1.37005,1.37019,,1.1375335818,1.587
1396643143.396,10.306,1.37005,1.37017,12.132,1.37005,1.37017,,1.1771783427,1.826
1396643144.812,12.739,1.37005,1.37017,14.132,1.37005,1.37017,,1.1093492425,1.393
1396643145.949,12.47,1.37004,1.37017,13.479,1.37004,1.37017,,1.0809141941,1.009
1396643155.165,11.94,1.37004,1.37017,13.438,1.37004,1.37017,,1.1254606365,1.498
1396643173.021,10.993,1.37004,1.37016,12.683,1.37004,1.37016,,1.1537341945,1.69
1396643176.644,11.974,1.37004,1.37015,13.469,1.37004,1.37015,,1.12485385,1.495
1396643178.899,11.024,1.37001,1.37015,12.053,1.37001,1.37015,,1.0933417997,1.029
1396643179.631,11.716,1.37003,1.37013,13.204,1.37003,1.37013,,1.127005804,1.488
1396643179.697,11.466,1.37002,1.37014,48.015,1.37002,1.37014,,4.1875981162,36.549
1396643187.809,10.785,1.37,1.37013,12.212,1.37,1.37013,,1.1323133982,1.427
1396643188.588,10.771,1.37,1.37012,12.708,1.37,1.37012,,1.1798347414,1.937
1396643189.933,10.921,1.36998,1.3701,12.737,1.36998,1.3701,,1.1662851387,1.816
1396643196.705,10.671,1.36998,1.3701,12.374,1.36998,1.3701,,1.159591416,1.703
1396643200.119,10.782,1.36995,1.37007,12.405,1.36995,1.37007,,1.1505286589,1.623
1396643200.127,19.157,1.36992,1.37005,104.659,1.36992,1.37005,,5.4632249308,85.502
1396643200.614,10.945,1.36991,1.37002,12.489,1.36991,1.37002,,1.1410689813,1.544
1396643200.629,10.835,1.36993,1.37004,97.534,1.36993,1.37004,,9.0017535764,86.699
1396643200.688,11.431,1.36993,1.37004,141.406,1.36993,1.37004,,12.3703962908,129.975
1396643202.12,11.638,1.36992,1.37006,13.447,1.36992,1.37006,,1.1554390789,1.809
1396643202.896,13.152,1.36994,1.37006,14.457,1.36994,1.37006,,1.0992244526,1.305
1396643203.313,10.821,1.36994,1.37006,12.312,1.36994,1.37006,,1.1377876352,1.491
1396643215.002,11.429,1.36995,1.37006,11.412,1.36995,1.37006,,0.9985125558,-0.017
1396643215.017,18.939,1.36995,1.3701,103.093,1.36995,1.3701,,5.4434236232,84.154
1396643215.023,28.279,1.36998,1.37013,98.657,1.36998,1.37013,,3.4887018636,70.378
1396643215.111,12.999,1.37,1.37014,104.717,1.37,1.37014,,8.055773521,91.718
1396643215.125,14.857,1.36996,1.37014,92.642,1.36996,1.37014,,6.2355791883,77.785
1396643215.233,10.864,1.36994,1.37011,610.122,1.36994,1.37011,,56.1599779087,599.258
1396643216.214,12.537,1.36993,1.37009,13.567,1.36993,1.37009,,1.0821568158,1.03
1396643216.221,28.543,1.36991,1.37007,106.051,1.36991,1.37007,,3.7154819045,77.508
1396643216.314,11.36,1.36989,1.37005,117.957,1.36989,1.37005,,10.3835387324,106.597
1396643217.513,27.767,1.36991,1.37002,12.407,1.36991,1.37002,,0.4468253682,-15.36
1396643219.824,11.761,1.36991,1.37003,14.21,1.36991,1.37003,,1.2082305926,2.449
1396643219.825,27.108,1.3699,1.37004,113.172,1.3699,1.37004,,4.174856131,86.064
1396643219.997,10.605,1.36992,1.37005,42.4,1.36992,1.37005,,3.9981140971,31.795
1396643220.043,11.747,1.36991,1.37005,95.385,1.36991,1.37005,,8.119945518,83.638
1396643220.099,10.939,1.36992,1.37005,40.887,1.36992,1.37005,,3.7377273974,29.948
1396643220.205,110.822,1.3699,1.37006,33.493,1.36992,1.37004,,0.3022233852,-77.329
1396643220.205,110.822,1.3699,1.37006,133.379,1.3699,1.37006,,1.2035426179,22.557
1396643221.524,14.83,1.36992,1.37007,16.243,1.36992,1.37007,,1.0952798382,1.413
1396643221.618,12.77,1.36991,1.37008,17.853,1.36991,1.37008,,1.3980422866,5.083
1396643221.784,11.104,1.36991,1.37007,12.486,1.36991,1.37007,,1.1244596542,1.382
1396643221.837,10.538,1.36992,1.37007,59.64,1.36992,1.37007,,5.6595179351,49.102
1396643228.013,11.619,1.36993,1.37007,28.527,1.36993,1.37007,,2.4552026853,16.908
1396643230.324,10.576,1.36994,1.37006,12.327,1.36994,1.37006,,1.1655635401,1.751
1396643233.13,11.413,1.36989,1.37003,12.297,1.36989,1.37003,,1.0774555332,0.884
1396643233.735,12.812,1.36991,1.37005,14.221,1.36991,1.37005,,1.1099750234,1.409
1396643235.112,19.966,1.36992,1.37005,21.771,1.36992,1.37005,,1.0904036863,1.805
1396643235.214,14.727,1.36991,1.37005,16.074,1.36991,1.37005,,1.0914646568,1.347
1396643235.913,11.058,1.36992,1.37004,13.09,1.36992,1.37004,,1.183758365,2.032
1396643236.912,11.476,1.36991,1.37005,13.928,1.36991,1.37005,,1.2136632973,2.452
1396643237.878,11.376,1.36991,1.37003,12.729,1.36991,1.37003,,1.1189345992,1.353
1396643239.313,10.361,1.3699,1.37004,11.775,1.3699,1.37004,,1.1364733134,1.414
1396643239.838,10.694,1.36988,1.37002,11.195,1.36988,1.37002,,1.0468487002,0.501
1396643263.912,11.606,1.36988,1.37,11.747,1.36988,1.37,,1.0121488885,0.141
1396643263.919,19.486,1.36987,1.37,105.366,1.36987,1.37,,5.4072667556,85.88
1396643263.931,23.461,1.3699,1.37003,94.373,1.3699,1.37003,,4.0225480585,70.912
1396643265.945,10.754,1.36991,1.37002,12.177,1.36991,1.37002,,1.1323228566,1.423
1396643273.019,11.244,1.36989,1.37002,12.561,1.36989,1.37002,,1.1171291355,1.317
1396643274.765,10.603,1.3699,1.37001,11.331,1.3699,1.37001,,1.0686598133,0.728
1396643274.766,25.032,1.36988,1.37003,109.863,1.36988,1.37003,,4.3889022052,84.831
1396643277.41,11.308,1.3699,1.37001,13.039,1.3699,1.37001,,1.1530774673,1.731
1396643282.232,11.188,1.36991,1.37001,11.83,1.36991,1.37001,,1.0573829103,0.642
1396643287.98,12.597,1.3699,1.37002,13.823,1.3699,1.37002,,1.0973247599,1.226
1396643292.813,25.526,1.3699,1.37002,12.066,1.36991,1.37002,,0.4726945076,-13.46
1396643292.813,25.526,1.3699,1.37002,133.379,1.3699,1.37006,,5.2252213429,107.853
1396643336.059,10.217,1.3699,1.37001,13.244,1.3699,1.37001,,1.296270921,3.027
1396643338.148,13.189,1.36988,1.36999,14.273,1.36988,1.36999,,1.0821897035,1.084
1396643339.212,10.493,1.36987,1.37,12.172,1.36987,1.37,,1.1600114362,1.679
1396643339.944,11.208,1.36989,1.37002,13.189,1.36989,1.37002,,1.1767487509,1.981
1396643353.333,10.669,1.3699,1.37001,12.389,1.3699,1.37001,,1.1612147343,1.72
1396643355.295,14.378,1.3699,1.37002,14.678,1.3699,1.37002,,1.0208652107,0.3
1396643369.323,10.169,1.36987,1.36999,11.96,1.36987,1.36999,,1.1761235126,1.791
1396643369.646,14.078,1.36989,1.37001,15.364,1.36989,1.37001,,1.0913482029,1.286
1396643370.348,10.984,1.36988,1.37002,12.779,1.36988,1.37002,,1.1634195193,1.795
1396643370.417,11.961,1.36985,1.37001,44.54,1.36985,1.37001,,3.7237689156,32.579
1396643370.423,22.031,1.36983,1.36999,137.943,1.36983,1.36999,,6.2613136036,115.912
1396643370.524,11.876,1.3698,1.36995,43.269,1.3698,1.36995,,3.6433984507,31.393
1396643370.541,12.646,1.36983,1.36998,120.606,1.36983,1.36998,,9.5370868259,107.96
1396643370.613,10.901,1.36983,1.36997,150.045,1.36983,1.36997,,13.7643335474,139.144
1396643371.313,10.421,1.36985,1.36997,12.433,1.36985,1.36997,,1.1930716822,2.012
1396643371.722,11.72,1.36987,1.36997,12.808,1.36987,1.36997,,1.0928327645,1.088
1396643372.421,11.252,1.36986,1.36998,12.826,1.36986,1.36998,,1.1398862424,1.574
1396643372.459,12.662,1.36985,1.36997,74.402,1.36985,1.36997,,5.8760069499,61.74
1396643377.226,11.866,1.36986,1.36997,12.917,1.36986,1.36997,,1.0885723917,1.051
1396643381.325,10.912,1.36985,1.36997,12.58,1.36985,1.36997,,1.1528592375,1.668
1396643383.015,10.463,1.36986,1.36997,12.827,1.36986,1.36997,,1.2259390232,2.364
1396643388.845,11.762,1.36984,1.36998,14.476,1.36984,1.36998,,1.2307430709,2.714
1396643392.539,20.503,1.36983,1.36996,21.714,1.36983,1.36996,,1.0590645271,1.211
1396643392.617,12.149,1.36982,1.36994,41.349,1.36982,1.36994,,3.4034899992,29.2
1396643393.938,13.17,1.36981,1.36994,15.571,1.36981,1.36994,,1.1823082764,2.401
1396643394.938,18.202,1.36982,1.36993,19.622,1.36982,1.36993,,1.0780134051,1.42
1396643396.565,12.343,1.36982,1.36995,13.287,1.36982,1.36995,,1.0764805963,0.944
1396643402.358,12.174,1.3698,1.36993,13.015,1.3698,1.36993,,1.0690816494,0.841
1396643402.734,13.732,1.36982,1.36995,15.452,1.36982,1.36995,,1.1252548791,1.72
1396643410.231,10.89,1.36982,1.36993,11.965,1.36982,1.36993,,1.0987144169,1.075
1396643410.492,10.631,1.36983,1.36992,65.99,1.36983,1.36992,,6.2073182203,55.359
1396643410.923,10.713,1.36982,1.36993,12.542,1.36982,1.36993,,1.1707271539,1.829
1396643415.894,10.043,1.36981,1.36993,12.044,1.36981,1.36993,,1.199243254,2.001
1396643420.068,11.533,1.3698,1.36994,12.313,1.3698,1.36994,,1.0676320125,0.78
1396643439.062,11.28,1.36981,1.36994,12.455,1.36981,1.36994,,1.1041666667,1.175
1396643440.317,11.279,1.3698,1.36991,13.268,1.3698,1.36991,,1.1763454207,1.989
1396643440.333,10.817,1.3698,1.36991,97.74,1.3698,1.36991,,9.0357770177,86.923
1396643440.889,10.938,1.36981,1.36991,12.707,1.36981,1.36991,,1.1617297495,1.769
1396643451.487,12.922,1.3698,1.36992,14.314,1.3698,1.36992,,1.1077232627,1.392
1396643460.112,15.18,1.3698,1.36993,15.983,1.3698,1.36993,,1.0528985507,0.803
1396643482.406,11.571,1.36978,1.36991,12.444,1.36978,1.36991,,1.0754472388,0.873
1396643492.161,10.694,1.3698,1.36993,12.275,1.3698,1.36993,,1.1478399102,1.581
1396643506.71,11.512,1.36978,1.36991,12.896,1.36978,1.36991,,1.1202223767,1.384
1396643517.746,15.425,1.3698,1.36993,14.879,1.3698,1.36993,,0.9646029173,-0.546
1396643522.237,10.775,1.3698,1.36993,11.004,1.3698,1.36993,,1.0212529002,0.229
1396643545.813,23.395,1.36983,1.36992,13.256,1.36983,1.36992,,0.5666167985,-10.139
1396643545.821,44.054,1.36981,1.36992,104.878,1.36981,1.36992,,2.3806691787,60.824
1396643560.014,11.282,1.36981,1.36992,12.482,1.36981,1.36992,,1.1063641198,1.2
1396643563.763,11.078,1.3698,1.36993,12.49,1.3698,1.36993,,1.1274598303,1.412
1396643603.235,11.064,1.3698,1.36993,12.3,1.3698,1.36993,,1.1117136659,1.236
1396643625.044,10.714,1.36978,1.36993,12.723,1.36978,1.36993,,1.187511667,2.009
1396643625.214,11.209,1.36979,1.36992,11.493,1.36979,1.36992,,1.0253367829,0.284
1396643626.72,13.836,1.36977,1.3699,15.001,1.36977,1.3699,,1.084200636,1.165
1396643627.026,12.677,1.36976,1.36992,13.673,1.36976,1.36992,,1.0785674844,0.996
1396643627.336,11.146,1.36977,1.36993,12.592,1.36977,1.36993,,1.1297326395,1.446
1396643627.396,11.876,1.36977,1.36993,52.93,1.36977,1.36993,,4.456887841,41.054
