Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396643372.459,12.662,1.36985,1.36997,,1396643369.323,11.96,1.36987,1.36999
1396643377.226,11.866,1.36986,1.36997,,1396643369.646,15.364,1.36989,1.37001
1396643381.325,10.912,1.36985,1.36997,,1396643370.348,12.779,1.36988,1.37002
1396643383.015,10.463,1.36986,1.36997,,1396643370.417,44.54,1.36985,1.37001
1396643388.845,11.762,1.36984,1.36998,,1396643370.423,137.943,1.36983,1.36999
1396643392.539,20.503,1.36983,1.36996,,1396643370.436,126.491,1.3698,1.36996
1396643392.617,12.149,1.36982,1.36994,,1396643370.436,128.008,1.3698,1.36996
1396643393.938,13.17,1.36981,1.36994,,1396643370.524,43.269,1.3698,1.36995
1396643394.938,18.202,1.36982,1.36993,,1396643370.541,120.606,1.36983,1.36998
1396643396.565,12.343,1.36982,1.36995,,1396643370.613,150.045,1.36983,1.36997
1396643402.358,12.174,1.3698,1.36993,,1396643371.313,12.433,1.36985,1.36997
1396643402.734,13.732,1.36982,1.36995,,1396643371.722,12.808,1.36987,1.36997
1396643410.231,10.89,1.36982,1.36993,,1396643372.421,12.826,1.36986,1.36998
1396643410.492,10.631,1.36983,1.36992,,1396643372.459,74.402,1.36985,1.36997
1396643410.923,10.713,1.36982,1.36993,,1396643377.226,12.917,1.36986,1.36997
1396643415.894,10.043,1.36981,1.36993,,1396643381.325,12.58,1.36985,1.36997
1396643420.068,11.533,1.3698,1.36994,,1396643383.015,12.827,1.36986,1.36997
1396643439.062,11.28,1.36981,1.36994,,1396643388.845,14.476,1.36984,1.36998
1396643440.317,11.279,1.3698,1.36991,,1396643392.539,21.714,1.36983,1.36996
1396643440.333,10.817,1.3698,1.36991,,1396643392.617,41.349,1.36982,1.36994
1396643440.889,10.938,1.36981,1.36991,,1396643393.938,15.571,1.36981,1.36994
1396643451.487,12.922,1.3698,1.36992,,1396643394.938,19.622,1.36982,1.36993
1396643460.112,15.18,1.3698,1.36993,,1396643396.565,13.287,1.36982,1.36995
1396643482.406,11.571,1.36978,1.36991,,1396643402.358,13.015,1.3698,1.36993
1396643492.161,10.694,1.3698,1.36993,,1396643402.734,15.452,1.36982,1.36995
1396643506.71,11.512,1.36978,1.36991,,1396643410.231,11.965,1.36982,1.36993
1396643517.746,15.425,1.3698,1.36993,,1396643410.492,65.99,1.36983,1.36992
1396643522.237,10.775,1.3698,1.36993,,1396643410.923,12.542,1.36982,1.36993
1396643545.813,23.395,1.36983,1.36992,,1396643415.894,12.044,1.36981,1.36993
1396643545.821,44.054,1.36981,1.36992,,1396643420.068,12.313,1.3698,1.36994
1396643560.014,11.282,1.36981,1.36992,,1396643439.062,12.455,1.36981,1.36994
1396643563.763,11.078,1.3698,1.36993,,1396643440.317,13.268,1.3698,1.36991
1396643603.235,11.064,1.3698,1.36993,,1396643440.333,97.74,1.3698,1.36991
1396643625.044,10.714,1.36978,1.36993,,1396643440.889,12.707,1.36981,1.36991
1396643625.214,11.209,1.36979,1.36992,,1396643451.487,14.314,1.3698,1.36992
1396643626.72,13.836,1.36977,1.3699,,1396643460.112,15.983,1.3698,1.36993
1396643627.026,12.677,1.36976,1.36992,,1396643482.406,12.444,1.36978,1.36991
1396643627.336,11.146,1.36977,1.36993,,1396643492.161,12.275,1.3698,1.36993
1396643627.396,11.876,1.36977,1.36993,,1396643506.71,12.896,1.36978,1.36991
1396643628.024,13.542,1.3698,1.3699,,1396643517.746,14.879,1.3698,1.36993
1396643628.026,26.932,1.36976,1.36993,,1396643522.237,11.004,1.3698,1.36993
1396643628.675,10.352,1.36975,1.36993,,1396643545.813,13.256,1.36983,1.36992
1396643628.716,11.16,1.36973,1.36991,,1396643545.821,104.878,1.36981,1.36992
1396643628.783,11.002,1.36971,1.36988,,1396643560.014,12.482,1.36981,1.36992
1396643628.829,11.035,1.36972,1.36988,,1396643563.763,12.49,1.3698,1.36993
1396643629.013,13.836,1.36972,1.36987,,1396643603.235,12.3,1.3698,1.36993
1396643629.379,10.926,1.36972,1.36985,,1396643625.044,12.723,1.36978,1.36993
1396643630.533,11.152,1.36972,1.36985,,1396643625.214,11.493,1.36979,1.36992
1396643631.112,11.542,1.36972,1.36984,,1396643626.72,15.001,1.36977,1.3699
1396643631.781,18.015,1.36972,1.36984,,1396643627.026,13.673,1.36976,1.36992
1396643634.061,10.774,1.36971,1.36985,,1396643627.336,12.592,1.36977,1.36993
1396643634.64,11.104,1.36971,1.36985,,1396643627.396,52.93,1.36977,1.36993
1396643641.216,11.271,1.36973,1.36988,,1396643628.024,15.066,1.3698,1.3699
1396643641.223,19.989,1.36974,1.36991,,1396643628.026,110.317,1.36976,1.36993
1396643641.254,12.892,1.36975,1.36991,,1396643628.675,12.252,1.36975,1.36993
1396643641.422,12.046,1.36976,1.36991,,1396643628.716,71.076,1.36973,1.36991
1396643641.583,12.213,1.36977,1.3699,,1396643628.783,105.694,1.36971,1.36988
1396643641.584,26.585,1.36976,1.36991,,1396643628.829,62.173,1.36972,1.36988
1396643645.423,11.637,1.36974,1.36989,,1396643629.013,14.902,1.36972,1.36987
1396643645.508,12.111,1.36975,1.36989,,1396643629.379,12.471,1.36972,1.36985
1396643645.713,11.197,1.36975,1.36987,,1396643630.533,47.219,1.36972,1.36985
1396643645.718,24.064,1.36972,1.36987,,1396643631.112,12.705,1.36972,1.36984
1396643646.537,11.752,1.36972,1.36987,,1396643631.781,19.68,1.36972,1.36984
