Compact Stream Performance Test,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396635732.22,11.825,1.3698,1.36992,,1396635730.783,16.712,1.36982,1.36993
1396635733.434,12.209,1.3698,1.36991,,1396635730.79,105.165,1.36981,1.36993
1396635742.411,11.657,1.36981,1.36991,,1396635732.131,21.608,1.3698,1.36993
1396635742.413,31.112,1.3698,1.36992,,1396635732.22,32.428,1.3698,1.36992
1396635742.435,32.01,1.3698,1.36991,,1396635733.434,12.402,1.3698,1.36991
1396635742.475,11.289,1.36981,1.36993,,1396635742.411,11.434,1.36981,1.36991
1396635742.614,11.172,1.36984,1.36995,,1396635742.413,116.342,1.3698,1.36992
1396635744.611,14.891,1.36985,1.36995,,1396635742.435,95.58,1.3698,1.36991
1396635745.311,16.431,1.36987,1.36997,,1396635742.475,149.665,1.36981,1.36993
1396635749.732,14.493,1.36985,1.36995,,1396635742.614,109.167,1.36984,1.36995
1396635753.31,11.966,1.36984,1.36996,,1396635744.611,15.962,1.36985,1.36995
1396635753.512,15.786,1.36985,1.36995,,1396635745.311,16.407,1.36987,1.36997
1396635762.212,15.688,1.36985,1.36997,,1396635749.732,15.575,1.36985,1.36995
1396635762.313,11.594,1.36986,1.36997,,1396635753.31,13.06,1.36984,1.36996
1396635762.611,12.969,1.36985,1.36997,,1396635753.512,17.156,1.36985,1.36995
1396635762.713,12.385,1.36986,1.36997,,1396635762.212,13.19,1.36985,1.36997
1396635779.13,34.56,1.36985,1.36994,,1396635762.313,13.458,1.36986,1.36997
1396635780.056,12.997,1.36984,1.36995,,1396635762.611,13.751,1.36985,1.36997
1396635782.714,457.733,1.36985,1.36994,,1396635762.713,14.082,1.36986,1.36997
1396635785.979,24.329,1.36984,1.36995,,1396635779.13,36.079,1.36985,1.36994
1396635790.121,22.244,1.36986,1.36996,,1396635780.056,14.635,1.36984,1.36995
1396635794.514,11.138,1.36986,1.36995,,1396635782.714,538.078,1.36985,1.36994
1396635801.022,14.174,1.36986,1.36997,,1396635785.979,26.068,1.36984,1.36995
1396635805.783,25.696,1.36984,1.36995,,1396635790.121,22.856,1.36986,1.36996
1396635805.944,21.233,1.36984,1.36996,,1396635794.514,74.75,1.36986,1.36995
1396635808.003,26.509,1.36983,1.36994,,1396635801.022,15.634,1.36986,1.36997
1396635809.823,24.842,1.36986,1.36996,,1396635805.783,26.989,1.36984,1.36995
1396635810.438,22.868,1.36985,1.36997,,1396635805.944,21.601,1.36984,1.36996
1396635810.445,52.518,1.36984,1.36997,,1396635808.003,27.636,1.36983,1.36994
1396635810.86,11.405,1.36985,1.36997,,1396635809.823,24.302,1.36986,1.36996
1396635810.904,10.944,1.36984,1.36997,,1396635810.438,24.01,1.36985,1.36997
